metric,value
distance_D_m,2.183157
heading_error_phi_deg,20.169388
robot_heading_xz_deg,-89.949106
reference_heading_xz_deg,-110.118494
delta_x_ref_minus_robot_m,2.049948
delta_y_ref_minus_robot_m,0.237776
delta_z_ref_minus_robot_m,-0.750925
robot_x_m,-2.975721
robot_y_m,-0.020005
robot_z_m,-0.457928
robot_qx,0.62502469
robot_qy,0.62460776
robot_qz,0.33115504
robot_qw,-0.33097677
robot_roll_deg,-179.994563
robot_pitch_deg,-55.834764
robot_yaw_deg,89.958886
reference_x_m,-0.925773
reference_y_m,0.217771
reference_z_m,-1.208853
reference_qx,0.00000000
reference_qy,-0.81974472
reference_qz,0.00000000
reference_qw,0.57272908
reference_roll_deg,180.000000
reference_pitch_deg,-69.881506
reference_yaw_deg,180.000000
