metric,value
distance_D_m,0.000000
heading_error_phi_deg,174.882474
robot_heading_xz_deg,-89.949106
reference_heading_xz_deg,95.168421
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.218822
robot_y_m,-2.007851
robot_z_m,2.705232
robot_qx,0.62502469
robot_qy,0.62460776
robot_qz,0.33115504
robot_qw,-0.33097677
robot_roll_deg,-179.994563
robot_pitch_deg,-55.834764
robot_yaw_deg,89.958886
reference_x_m,0.218822
reference_y_m,-2.007851
reference_z_m,2.705232
reference_qx,0.00000000
reference_qy,0.73826949
reference_qz,0.00000000
reference_qw,0.67450587
reference_roll_deg,180.000000
reference_pitch_deg,84.831579
reference_yaw_deg,180.000000
